"DATE","PLAYER_FULL_NAME","Cluster","points","assists","offensive_rebounds","defensive_rebounds","turnovers","threepointers_made","threepoint_attempts","steals","minutes","fieldgoal_attempts","fieldgoals_made","freethrow_attempts","freethrows_made","fouls","blocks","season"
2016-11-07,"Aaron Harrison",0,0,1,0,1,0,0,0,0,3.25,1,0,0,0,0,0,2016
2016-11-05,"Adreian Payne",0,6,0,0,1,0,0,1,0,6.25,3,2,2,2,0,0,2016
2016-11-04,"AJ Hammons",0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,2016
2016-10-31,"Alan Williams",0,2,0,0,1,2,0,0,0,3.75,1,1,0,0,0,0,2016
2016-10-25,"Anderson Varejao",0,1,0,0,0,0,0,0,0,3.17,0,0,2,1,3,0,2016
2016-11-01,"Bobby Brown",0,0,0,0,0,0,0,1,0,4.67,2,0,0,0,0,0,2016
2016-11-07,"Brian Roberts",0,2,0,0,1,0,0,1,0,4.37,2,1,0,0,0,0,2016
2016-10-29,"Bryn Forbes",0,2,0,0,1,0,0,1,1,14.57,3,1,0,0,2,0,2016
2016-11-07,"Damjan Rudez",0,0,1,0,1,1,0,0,1,9.72,2,0,0,0,1,0,2016
2016-11-09,"Daniel Ochefu",0,2,0,0,2,1,0,0,0,2.98,1,1,0,0,2,0,2016
2016-10-29,"Davis Bertans",0,3,0,1,2,2,1,2,0,11.92,4,1,0,0,1,2,2016
2016-10-29,"DeAndre Bembry",0,2,0,1,1,0,0,1,0,6.07,3,1,0,0,0,0,2016
2016-10-31,"Denzel Valentine",0,3,0,0,0,0,1,3,0,7.02,3,1,0,0,1,1,2016
2016-10-29,"Deyonta Davis",0,0,0,0,0,0,0,0,0,0.93,0,0,0,0,0,0,2016
2016-10-31,"Diamond Stone",0,0,0,0,0,1,0,0,0,3.58,1,0,0,0,1,0,2016
2016-10-28,"Dorian Finney-Smith",0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0,2016
2016-10-29,"Georges Niang",0,4,1,1,1,2,0,2,0,15.83,5,2,0,0,0,0,2016
2016-10-26,"Glenn Robinson",0,0,0,0,0,1,0,1,0,10.23,3,0,0,0,0,0,2016
2016-10-28,"Henry Ellenson",0,2,0,0,3,0,0,0,0,2.47,1,1,0,0,0,0,2016
2016-10-29,"Isaiah Whitehead",0,3,1,0,0,2,0,0,1,8.37,1,1,2,1,3,0,2016
2016-11-09,"Jake Layman",0,9,2,0,1,1,1,5,1,15.92,8,4,0,0,2,0,2016
2016-10-26,"Jameer Nelson",0,9,3,0,2,4,1,4,1,19.9,8,4,0,0,2,0,2016
2016-10-25,"James Jones",0,5,0,0,0,0,1,1,0,5.5,2,1,2,2,1,0,2016
2016-11-01,"James Michael McAdoo",0,5,0,0,1,0,0,0,0,8.85,3,2,2,1,0,0,2016
2016-11-02,"James Young",0,0,0,0,1,0,0,0,0,0.65,0,0,0,0,0,0,2016
2016-11-10,"Jarnell Stokes",0,2,2,1,1,0,0,0,1,5.73,1,1,0,0,2,0,2016
2016-10-25,"JaVale McGee",0,2,0,0,0,0,0,0,0,3.68,2,1,1,0,0,0,2016
2016-10-26,"Joe Young",0,0,0,0,0,0,0,0,0,3.45,0,0,0,0,1,0,2016
2016-11-02,"Joel Bolomboy",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2016
2016-11-09,"John Lucas III",0,0,0,0,0,0,0,0,0,1.27,0,0,0,0,0,0,2016
2016-10-25,"Jordan McRae",0,2,0,0,0,0,0,0,0,5.83,4,1,0,0,1,0,2016
2016-10-29,"Jordan Mickey",0,3,1,1,1,0,0,0,0,7.73,3,1,2,1,0,0,2016
2016-11-03,"Juan Hernangomez",0,2,0,0,2,1,0,0,0,10.67,1,1,0,0,2,0,2016
2016-11-11,"Kay Felder",0,2,0,0,2,0,0,0,0,7.53,2,1,0,0,1,0,2016
2016-10-28,"Kevon Looney",0,4,2,1,2,0,0,0,0,7.02,1,1,2,2,2,0,2016
2016-11-02,"Kyle Wiltjer",0,0,0,0,2,1,0,3,0,3.75,3,0,0,0,1,0,2016
2016-11-05,"Malachi Richardson",0,3,0,0,0,0,1,3,0,5.78,3,1,0,0,0,0,2016
2016-11-06,"Malik Beasley",0,0,1,0,0,0,0,0,0,2.43,1,0,0,0,0,0,2016
2016-11-02,"Maurice Ndour",0,4,0,0,1,0,0,0,1,18.62,2,2,0,0,1,1,2016
2016-10-28,"Michael Gbinije",0,0,1,0,0,0,0,1,0,4.95,1,0,0,0,1,0,2016
2016-10-27,"Mike Muscala",0,9,1,1,3,0,1,2,2,25.68,6,3,2,2,2,3,2016
2016-10-28,"Montrezl Harrell",0,2,0,0,1,0,0,0,0,3.73,1,1,0,0,1,0,2016
2016-10-28,"Nicolas Brussino",0,2,0,0,0,0,0,0,1,1.43,0,0,2,2,0,0,2016
2016-10-29,"Nicolas Laprovittola",0,7,4,0,4,1,0,3,0,21.92,5,2,3,3,2,0,2016
2016-11-01,"Pat Connaughton",0,0,2,0,1,0,0,0,0,8,0,0,0,0,0,0,2016
2016-10-31,"Paul Zipser",0,0,1,1,1,0,0,0,1,4.42,1,0,0,0,0,0,2016
2016-10-29,"Rakeem Christmas",0,0,1,0,1,0,0,0,0,6.72,1,0,0,0,1,0,2016
2016-11-02,"Ron Baker",0,4,2,1,0,1,1,3,1,15.83,5,1,2,1,1,0,2016
2016-10-27,"Shabazz Napier",0,0,0,0,0,0,0,0,0,0.92,0,0,0,0,2,0,2016
2016-10-30,"Sheldon McClellan",0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,2016
2016-10-29,"Taurean Prince",0,4,1,0,0,0,0,1,0,5.75,2,1,2,2,0,0,2016
2016-10-26,"Terrence Jones",0,6,1,1,2,0,0,1,3,17.73,6,2,2,2,0,0,2016
2016-11-03,"Thon Maker",0,6,0,0,0,0,2,2,0,1.23,2,2,0,0,0,0,2016
2016-11-01,"Timothe Luwawu",0,0,0,0,0,0,0,0,0,3.27,0,0,0,0,0,0,2016
2016-10-30,"Tomas Satoransky",0,0,0,0,0,0,0,0,0,1.42,0,0,0,0,0,0,2016
2016-11-07,"Treveon Graham",0,3,0,0,2,0,1,2,0,14.17,2,1,0,0,5,0,2016
2016-11-01,"Udonis Haslem",0,0,1,1,3,0,0,0,1,15.85,3,0,0,0,5,0,2016
2016-10-26,"DeMarcus Cousins",1,24,2,1,5,3,0,1,1,24.67,10,6,16,12,4,0,2016
2016-10-25,"Draymond Green",1,18,6,5,7,2,2,5,5,32.62,14,7,2,2,2,1,2016
2016-10-26,"Giannis Antetokounmpo",1,31,5,1,8,1,1,2,1,38.73,21,13,6,4,5,1,2016
2016-10-26,"Karl-Anthony Towns",1,21,5,2,2,2,2,5,1,36.48,20,9,1,1,3,1,2016
2016-10-25,"LaMarcus Aldridge",1,26,3,8,6,2,1,1,1,35.18,20,10,6,5,1,0,2016
2016-10-28,"Michael Kidd-Gilchrist",1,3,1,2,3,1,0,0,1,28.37,5,1,2,1,3,4,2016
2016-10-25,"Pau Gasol",1,2,1,0,4,1,0,0,0,18.27,4,1,0,0,3,0,2016
2016-10-27,"Paul Millsap",1,28,6,2,5,2,3,6,0,30.8,20,11,4,3,0,1,2016
2016-10-29,"Andrew Harrison",2,4,2,0,0,2,0,2,0,24.65,5,2,0,0,2,0,2016
2016-10-31,"Anthony Bennett",2,7,0,0,1,0,1,5,1,12,7,2,2,2,0,0,2016
2016-10-25,"Brandon Jennings",2,7,5,1,2,1,0,4,0,21.23,7,1,6,5,2,0,2016
2016-10-29,"Dario Saric",2,5,2,0,4,1,1,3,0,26.4,9,2,0,0,1,0,2016
2016-10-29,"Malcolm Delaney",2,8,4,0,2,0,1,1,1,20.4,6,3,2,1,1,0,2016
2016-10-26,"Ty Lawson",2,9,7,3,3,2,1,4,2,35.62,9,3,2,2,2,1,2016
2016-11-01,"Tyus Jones",2,2,6,0,2,1,0,1,1,18.83,3,1,0,0,1,0,2016
2016-10-26,"D'Angelo Russell",3,20,3,0,1,3,4,10,1,29.07,16,7,3,2,2,0,2016
2016-11-08,"Darren Collison",3,9,4,1,0,3,1,3,2,27.57,9,4,0,0,1,0,2016
2016-10-26,"Deron Williams",3,25,7,1,2,6,5,8,0,40,18,10,0,0,4,1,2016
2016-10-25,"Derrick Rose",3,17,1,2,1,4,1,2,0,29.58,17,7,2,2,1,1,2016
2016-10-26,"Devin Booker",3,18,3,0,2,4,0,3,0,24.55,12,8,5,2,5,0,2016
2016-10-27,"Dwyane Wade",3,22,5,2,4,3,4,6,0,32.42,18,7,4,4,4,1,2016
2016-10-26,"Elfrid Payton",3,16,5,2,2,4,0,2,0,37.5,12,4,8,8,1,2,2016
2016-10-26,"Emmanuel Mudiay",3,11,3,0,7,6,0,1,1,28.1,8,2,8,7,5,0,2016
2016-10-28,"Eric Bledsoe",3,17,6,0,5,1,0,7,3,37.83,16,6,9,5,5,0,2016
2016-10-25,"Evan Turner",3,3,5,0,5,0,0,0,1,26.02,7,1,1,1,1,1,2016
2016-10-26,"Goran Dragic",3,16,6,3,3,3,0,1,0,28.62,15,7,2,2,4,0,2016
2016-10-26,"Ish Smith",3,6,7,0,1,0,0,4,1,33.25,10,3,0,0,0,0,2016
2016-10-27,"Jamal Crawford",3,15,1,0,3,1,1,6,4,25.75,12,3,8,8,2,0,2016
2016-10-26,"Jeff Teague",3,20,8,0,2,3,0,3,3,36.75,15,5,13,10,4,0,2016
2016-10-26,"Jeremy Lin",3,18,3,1,2,2,2,5,0,27.57,14,6,5,4,1,1,2016
2016-10-25,"Joe Johnson",3,29,3,0,4,2,3,4,1,30.5,16,12,2,2,0,0,2016
2016-10-26,"Jose Juan Barea",3,22,6,0,2,3,2,7,0,39.12,17,7,6,6,1,1,2016
2016-10-26,"Matt Barnes",3,14,3,1,6,1,2,5,0,27.62,9,6,0,0,4,0,2016
2016-10-26,"Monta Ellis",3,19,7,0,7,3,1,2,3,44.02,11,7,4,4,3,0,2016
2016-10-26,"Nicolas Batum",3,9,7,0,6,1,1,7,2,33.6,9,2,5,4,2,0,2016
2016-10-27,"Raymond Felton",3,4,1,0,1,1,0,0,1,16.17,3,2,0,0,2,0,2016
2016-10-29,"Sergio Rodriguez",3,14,5,1,3,4,0,2,1,28.97,13,7,0,0,1,0,2016
2016-10-25,"Shelvin Mack",3,4,4,0,1,0,0,1,2,14.8,5,2,0,0,1,0,2016
2016-10-26,"Arron Afflalo",4,8,0,0,3,0,2,2,1,26.22,7,2,2,2,3,0,2016
2016-10-27,"Austin Rivers",4,8,2,0,4,0,0,3,1,26.17,8,4,0,0,2,0,2016
2016-10-26,"CJ Miles",4,8,1,0,0,0,2,3,2,12.55,6,3,0,0,1,0,2016
2016-10-27,"Doug McDermott",4,5,1,0,1,1,0,1,0,21.87,5,2,2,1,2,0,2016
2016-10-29,"Frank Kaminsky",4,11,3,1,3,1,1,2,0,24.3,8,4,2,2,2,0,2016
2016-10-26,"Garrett Temple",4,12,3,1,1,2,0,1,0,17.85,8,6,0,0,2,0,2016
2016-10-25,"Iman Shumpert",4,2,3,1,1,2,0,1,0,13.85,3,1,0,0,2,1,2016
2016-10-25,"Joe Ingles",4,2,1,0,0,1,0,0,1,14.1,1,1,0,0,2,0,2016
2016-10-25,"Justin Holiday",4,8,2,1,5,0,2,3,1,26.45,7,2,2,2,0,0,2016
2016-11-09,"Kelly Olynyk",4,2,1,0,6,0,0,3,0,26.13,6,1,0,0,1,0,2016
2016-10-26,"Marco Belinelli",4,7,1,0,4,0,0,2,0,26.43,8,3,1,1,1,0,2016
2016-10-27,"Marcus Thornton",4,5,1,0,1,1,1,3,0,20.08,8,2,0,0,2,0,2016
2016-10-26,"Metta World Peace",4,0,0,0,0,0,0,0,0,2.45,0,0,0,0,3,0,2016
2016-10-25,"Meyers Leonard",4,0,1,0,1,0,0,1,0,9.25,2,0,0,0,1,0,2016
2016-10-25,"Mike Dunleavy",4,4,2,0,4,0,0,1,3,22.53,3,2,0,0,0,0,2016
2016-10-26,"Norman Powell",4,0,0,0,1,0,0,2,0,2.17,2,0,0,0,0,0,2016
2016-10-26,"Patrick Patterson",4,3,1,0,4,0,0,2,1,26.27,5,1,2,1,2,0,2016
2016-10-25,"Patty Mills",4,11,5,0,1,0,3,5,4,17.85,9,4,0,0,1,0,2016
2016-10-26,"Solomon Hill",4,2,1,0,1,2,0,4,1,27.05,7,1,0,0,4,0,2016
2016-10-26,"Stanley Johnson",4,2,1,0,3,0,0,1,0,13.7,4,1,0,0,1,0,2016
2016-10-26,"Terrence Ross",4,4,3,0,4,1,0,1,2,18.57,4,2,0,0,2,0,2016
2016-10-29,"Tony Snell",4,6,0,1,1,1,0,3,0,20.62,7,3,0,0,4,0,2016
2016-10-25,"Trey Lyles",4,5,2,0,2,3,1,2,0,17.92,6,2,0,0,0,0,2016
2016-10-26,"Vince Carter",4,3,1,1,6,0,0,2,1,28.08,4,1,2,1,3,1,2016
2016-10-27,"Wesley Johnson",4,3,0,0,2,0,0,1,0,11.52,2,1,1,1,2,1,2016
2016-11-09,"Alan Anderson",5,3,1,1,0,1,1,2,0,9.17,3,1,0,0,1,0,2016
2016-10-26,"Anthony Tolliver",5,6,2,2,3,0,0,3,0,14.82,6,3,0,0,1,0,2016
2016-10-26,"Brandon Rush",5,0,1,0,2,1,0,1,0,13.65,3,0,0,0,1,0,2016
2016-10-28,"Buddy Hield",5,2,1,0,1,2,0,2,0,18.58,6,1,0,0,1,1,2016
2016-11-07,"Christian Wood",5,0,0,0,2,0,0,1,0,3.25,1,0,0,0,0,0,2016
2016-10-28,"Domantas Sabonis",5,8,0,0,4,1,0,0,0,17.48,6,4,0,0,3,0,2016
2016-10-26,"Dwight Powell",5,0,1,3,4,0,0,0,0,16.48,2,0,2,0,2,1,2016
2016-10-28,"Jakob Poeltl",5,7,0,4,3,0,0,0,0,10.82,5,3,1,1,1,0,2016
2016-10-26,"James Johnson",5,11,6,0,2,1,2,4,0,25.2,8,4,1,1,1,0,2016
2016-10-26,"Jeremy Lamb",5,0,2,0,1,0,0,0,0,9.43,4,0,0,0,1,0,2016
2016-10-27,"Kelly Oubre",5,5,1,0,1,0,1,4,1,22.2,6,1,4,2,1,0,2016
2016-10-26,"Kyle Singler",5,5,0,0,1,1,1,5,0,21.52,6,1,2,2,2,0,2016
2016-10-26,"Luis Scola",5,8,3,0,1,2,1,5,0,21.63,8,3,2,1,3,0,2016
2016-10-25,"Noah Vonleh",5,11,0,0,1,0,1,1,0,16.1,5,5,0,0,1,1,2016
2016-10-28,"Patrick McCaw",5,3,0,0,0,0,1,1,1,9.98,1,1,0,0,1,0,2016
2016-11-05,"Ryan Kelly",5,0,0,0,0,0,0,0,1,1.6,0,0,0,0,0,0,2016
2016-10-28,"Semaj Christon",5,2,0,1,1,1,0,0,0,11.22,4,1,2,0,0,1,2016
2016-10-26,"Amir Johnson",6,8,2,4,3,4,0,0,1,19.5,6,4,1,0,2,0,2016
2016-10-26,"Andrew Bogut",6,6,3,2,4,1,0,0,0,19.67,5,3,2,0,3,1,2016
2016-10-28,"Bismack Biyombo",6,2,0,1,2,1,0,0,0,22.85,5,1,0,0,1,1,2016
2016-10-26,"Clint Capela",6,16,0,3,6,1,0,0,0,25.67,11,8,1,0,2,1,2016
2016-10-26,"Cody Zeller",6,15,1,1,2,1,0,0,0,14.25,6,5,6,5,5,2,2016
2016-10-26,"Cole Aldrich",6,4,0,1,1,0,0,0,1,9.97,4,2,0,0,2,1,2016
2016-10-25,"Ed Davis",6,6,1,3,4,0,0,0,0,24.12,3,2,2,2,2,1,2016
2016-10-27,"Jaylen Brown",6,8,1,0,1,1,0,1,0,20.43,7,4,0,0,3,0,2016
2016-10-26,"John Henson",6,4,0,1,3,0,0,0,0,10.38,4,2,0,0,2,0,2016
2016-10-26,"Jusuf Nurkic",6,23,3,2,7,1,0,0,0,26.02,13,9,6,5,3,1,2016
2016-10-26,"Kosta Koufos",6,2,1,0,4,1,0,0,0,13.38,6,1,1,0,1,0,2016
2016-10-26,"Miles Plumlee",6,0,1,0,1,0,0,0,1,8.28,2,0,0,0,0,1,2016
2016-10-26,"Myles Turner",6,30,1,6,10,2,1,2,2,37.48,19,13,5,3,4,4,2016
2016-10-28,"Salah Mejri",6,2,0,0,0,0,0,0,0,1.43,1,1,0,0,0,0,2016
2016-10-27,"Taj Gibson",6,18,1,2,8,2,0,0,0,27.68,13,8,2,2,2,0,2016
2016-10-25,"Al-Farouq Aminu",7,9,1,0,4,1,2,3,1,28.4,6,3,1,1,0,0,2016
2016-10-25,"Andre Iguodala",7,2,3,1,1,1,0,2,1,26.8,3,1,0,0,3,0,2016
2016-10-26,"Avery Bradley",7,17,5,4,5,3,3,4,1,34.05,15,7,0,0,4,0,2016
2016-11-06,"Chandler Parsons",7,0,0,1,2,2,0,3,0,21.55,8,0,0,0,1,1,2016
2016-10-25,"Courtney Lee",7,0,0,1,2,2,0,2,0,19.62,5,0,0,0,1,1,2016
2016-10-29,"Danilo Gallinari",7,17,2,1,4,2,0,5,0,41.55,16,4,10,9,0,0,2016
2016-11-09,"Danny Green",7,8,2,0,3,1,2,8,4,26,9,3,0,0,2,1,2016
2016-10-26,"DeMarre Carroll",7,8,1,0,7,0,2,6,1,29.43,8,2,4,2,3,0,2016
2016-10-26,"Jae Crowder",7,21,2,0,5,2,3,8,2,29.18,15,9,0,0,2,1,2016
2016-10-26,"Jordan Clarkson",7,25,1,1,2,4,2,3,3,24.58,12,8,7,7,3,0,2016
2016-11-04,"Josh Richardson",7,0,0,0,1,2,0,2,1,11.6,4,0,0,0,2,0,2016
2016-10-27,"Kent Bazemore",7,7,1,0,3,4,1,4,1,26.13,7,1,4,4,4,0,2016
2016-11-02,"Marcus Smart",7,7,5,0,5,6,1,6,1,33.57,8,2,4,2,1,1,2016
2016-10-26,"Marvin Williams",7,13,2,2,8,1,3,4,0,28.9,12,5,0,0,4,1,2016
2016-10-27,"Otto Porter",7,10,1,2,4,0,0,0,2,25.8,7,5,1,0,2,0,2016
2016-10-25,"Rodney Hood",7,26,1,0,2,0,3,7,2,37.65,17,9,5,5,3,1,2016
2016-10-28,"TJ Warren",7,30,1,1,8,4,1,2,3,46.13,18,13,4,3,5,0,2016
2016-10-26,"Trevor Ariza",7,5,2,0,6,0,1,4,1,32.85,8,2,0,0,2,0,2016
2016-10-26,"Will Barton",7,22,2,2,3,2,2,3,0,34.77,12,7,6,6,2,0,2016
2016-10-26,"Andrew Wiggins",8,25,0,4,3,2,1,1,0,34.48,14,7,14,10,1,1,2016
2016-10-26,"Anthony Davis",8,50,5,1,14,3,0,2,5,41.23,34,17,17,16,4,4,2016
2016-10-26,"DeMar DeRozan",8,40,1,1,3,6,0,2,1,34.47,27,17,6,6,1,0,2016
2016-10-29,"Joel Embiid",8,14,1,0,2,3,1,1,1,15.47,9,5,4,3,3,2,2016
2016-10-25,"Kawhi Leonard",8,35,3,3,2,2,0,3,5,32.05,21,10,15,15,1,0,2016
2016-10-25,"Kevin Durant",8,27,4,0,10,0,1,3,2,36.6,18,11,5,4,2,2,2016
2016-10-26,"Paul George",8,25,6,0,8,2,4,5,0,42.77,14,7,8,7,2,0,2016
2016-10-26,"Victor Oladipo",8,10,1,2,3,3,0,5,0,26.05,16,4,3,2,2,1,2016
2016-10-26,"James Harden",9,34,17,3,4,7,1,7,1,37.18,19,9,16,15,5,0,2016
2016-10-25,"LeBron James",9,19,14,3,8,4,0,3,0,32.38,14,9,2,1,3,1,2016
2016-10-26,"Russell Westbrook",9,32,9,1,11,2,1,2,0,36.38,21,11,11,9,2,0,2016
2016-10-25,"Stephen Curry",9,26,4,0,3,4,3,10,0,34.1,18,9,6,5,1,0,2016
2016-10-26,"Alex Len",10,8,2,2,5,1,0,0,1,24.15,6,3,2,2,4,0,2016
2016-10-26,"Andre Drummond",10,16,0,1,5,4,0,0,1,24.15,11,7,6,2,5,0,2016
2016-10-26,"Brook Lopez",10,7,0,2,3,2,1,2,0,21.2,7,1,4,4,1,0,2016
2016-10-26,"Enes Kanter",10,17,0,5,7,0,0,0,1,24,14,7,4,3,3,1,2016
2016-10-26,"Jonas Valanciunas",10,32,1,6,5,1,0,0,0,35.22,15,10,14,12,4,0,2016
2016-10-26,"Julius Randle",10,18,6,0,7,2,0,1,0,29.18,11,9,1,0,4,1,2016
2016-10-28,"Justin Hamilton",10,8,1,2,5,1,1,6,0,28.35,8,3,1,1,3,1,2016
2016-10-26,"Kenneth Faried",10,9,1,6,8,3,0,1,2,28.27,9,3,6,3,1,2,2016
2016-10-27,"Marcin Gortat",10,4,1,3,8,3,0,0,1,32.27,6,2,0,0,4,1,2016
2016-10-25,"Mason Plumlee",10,2,1,0,1,0,0,0,0,14.57,4,1,0,0,4,0,2016
2016-10-26,"Nikola Jokic",10,5,2,1,6,4,1,2,0,21.13,5,2,0,0,4,0,2016
2016-10-26,"Nikola Vucevic",10,17,3,5,9,1,0,0,2,35.82,14,7,4,3,3,0,2016
2016-10-26,"Steven Adams",10,16,1,2,3,2,0,0,3,35.55,16,7,2,2,4,0,2016
2016-10-28,"Thomas Robinson",10,0,0,0,0,0,0,0,0,1.9,1,0,0,0,1,0,2016
2016-10-25,"Tristan Thompson",10,0,0,2,4,2,0,0,0,22.42,1,0,0,0,4,0,2016
2016-10-26,"Tyson Chandler",10,8,0,3,7,1,0,0,0,22.93,5,4,2,0,4,0,2016
2016-10-26,"Zach Randolph",10,19,1,1,10,2,1,2,0,24.55,12,7,6,4,1,0,2016
2016-10-26,"Aron Baynes",12,8,0,1,2,0,0,0,0,15.37,4,3,2,2,5,0,2016
2016-10-26,"Boban Marjanovic",12,0,0,0,1,0,0,0,1,5.05,1,0,0,0,2,0,2016
2016-10-25,"Boris Diaw",12,2,0,1,2,1,0,3,0,32.17,8,1,0,0,5,0,2016
2016-10-25,"Chris Andersen",12,2,0,0,0,0,0,0,0,5.57,1,1,0,0,0,1,2016
