Five38_name,Elastic_name
76ers,Philadelphia
Hornets,Charlotte
Clippers,LA Clippers
Cavaliers,Cleveland
Warriors,Golden State
Spurs,San Antonio
Raptors,Toronto
Jazz,Utah
Thunder,Oklahoma City
TrailBlazers,Portland
Rockets,Houston
Pelicans,New Orleans
Celtics,Boston
Timberwolves,Minnesota
Bulls,Chicago
Hawks,Atlanta
Pistons,Detroit
Nuggets,Denver
Mavericks,Dallas
Wizards,Washington
Lakers,LA Lakers
Kings,Sacramento
Knicks,New York
Grizzlies,Memphis
Pacers,Indiana
Bucks,Milwaukee
Magic,Orlando
Heat,Miami
Suns,Phoenix
Nets,Brooklyn
ers,Philadelphia